id,name,description,type,rating,address1,address2,pincode,city,state,latitude,longitude,url
1679983321188,Sardarji's Kitchen,Punjabi restaurant,1,3.8,Metro Station### Near### Shop 02### Opp Kanakia Wall Street,Andheri Kurla Link Road### J B Nagar### Andheri East,400093, Mumbai,Maharashtra,19.1142813,72.8613791,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1679983321188%2FSardarji's%20Kitchen.png?alt=media&token=331b8c7c-b68c-4574-95c2-cd4f810c9aaf
1680098024679,1522 Bar & Kitchen Mumbai,Stylish### colourful rooftop restaurant & bar offering classic meals### wood-fired pizzas & cocktails.,2,4.3,Level 2### Goldfinch Hotel### MIDC Central Rd### near Akruti Center Point,Chakala Industrial Area (MIDC)### Andheri Eas,400093, Mumbai,Maharashtra,19.1197064,72.8537554,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680098024679%2F1522%20Bar%20%26%20Kitchen%20Mumbai.png?alt=media&token=1e252cad-feb5-4890-aade-47717ea12613
1680267909827,Banarasi Fast Food,Fast food restaurant,0,3.7,4V85+27V### Vasanji Road### Opp Bank Of Baroda,Chakala M I D C### Andheri East,400093, Mumbai,Maharashtra,19.1151076,72.85527,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680267909827%2Fbanarasi.png?alt=media&token=8cff0ed1-5b8d-4cd5-856b-9a2451a3d2e1
1680228408816,Pallavi Veg Restaurant,South Indian restaurant,0,3.9,Shop Number 28### Gopal Bhavan### Azad Road ,Azad Nagar### Andheri East### opposite Telli Galli,400069, Mumbai,Maharashtra,19.1177433,72.8536987,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680228408816%2Fpallavi.png?alt=media&token=1ebaf323-e48a-497b-bc74-8a09d9ba591e
1680267958775,Classic,Family restaurant,0,3.9,Kranthi Cottage### 6### opp. Chenai College,Old Nagardas Rd### Andheri(East),400069, Mumbai,Maharashtra,19.1191786,72.8491117,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680267958775%2Fclassic.png?alt=media&token=16746330-d873-4f9b-a73b-f17c2f008472
1680267988540,Shree Devi Restaurant & Bar,,1,3.9,4R6X+VJW### Sahar Rd### maladhari,Koldongri### Andheri Eas,400069, Mumbai,Maharashtra,19.1134108,72.846925,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680267988540%2Fshree%20devi.png?alt=media&token=1bf40101-678f-444d-9491-e3d45290fb31
1680268002969,Malwani Aswad,Konkani restaurant,2,4.2, Opp. Bhuta High School,Shahaji Raje Road###Vile Parle East,400057, Mumbai,Maharashtra,19.1078016,72.8399891,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268002969%2Fmalwani.png?alt=media&token=f1c82216-3efa-470e-a9d9-481a477457bc
1680268023554,BOMBAY ADDA,Bar,2,4.4,Ramee Emerald II### 9th### above Nike Showroom,Linking Rd,400054, Mumbai,Maharashtra,19.0758679,72.8242352,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268023554%2FBombay%20Adda.png?alt=media&token=b8b528e0-0f77-4986-8be8-b6b66f823563
1680268038281,Khar Social,Restaurant,0,4.2,Rohan Plaza### 5th Rd### Khar,Ram Krishna Nagar### Khar West,400052, Mumbai,Maharashtra,19.0709142,72.8259841,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268038281%2FKhar%20social.jpg?alt=media&token=1ac74f4a-e9ae-4dd5-8b94-114d264d4b14
1680268055848,Candies,Fast food restaurant,2,4.3,4###Pali Hill,Union Park Rd Number 5### Union Park,400052, Mumbai,Maharashtra,19.0704101,72.8097117,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268055848%2Fcandies.jpg?alt=media&token=fb812ffc-14e5-48a7-9dd1-b9bd15cac23a
1680268089050,Konkan Spice,,2,4.9,Shop No. 1### Nargis Bunglow### opp. Kalgidhar School### Bamanpuri,J B Nagar### Andheri East,400059, Mumbai,Maharashtra,19.109817,72.8659305,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268089050%2Fkonkan%20spice.jpg?alt=media&token=b20ce251-e570-40ac-93d0-9e0fa6030238
1680268104337,Mini Malvan,Maharashtrian Restaurant,2,4.3,26### Chakala### Khanderao Bhuvan, opposite Proctors Gamble Plaza### Andheri East,400099, Mumbai,Maharashtra,19.1097922,72.8494866,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268104337%2Fmini%20malvan.jpg?alt=media&token=fc303a07-4c3e-4f7d-9f9e-ed44c128b7c5
1680268117837,Amar Juice Centre,Fast food restaurant,0,4.2,3### Gulmohar Rd### beside Cooper Hospital,JVPD Scheme### Vile Parle Wes,400056, Mumbai,Maharashtra,19.1077216,72.8354242,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268117837%2Famar.jpg?alt=media&token=b2b80357-ddd3-48ee-835f-6626a7f34668
1680268233549,Shiv Sagar,Vegetarian restaurant,0,4,Dharam Prem Apartment### 8,Nehru Rd### Vile Parle East,400057, Mumbai,Maharashtra,19.1003703,72.8398716,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268233549%2Fshiv%20sagar.jpg?alt=media&token=8018c1bf-382c-4d50-a5b4-86d2bc029bff
1680268912802,Hitchki,North Indian restaurant,2,4.3,FIFC Building### Plot No. C- 54 & 55 G Block,Bandra Kurla Complex Rd### Bandra Kurla Complex### Bandra East,400051, Mumbai,Maharashtra,19.0693161,72.8560911,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268912802%2Fhitchki.jpg?alt=media&token=8329f798-eb8d-4b81-8899-f627ad6e75de
1680268928702,The Burrow,Modern European restaurant,2,4.8,R-3### The Burrow### Adani Inspire### G Block BKC,Patthar Nagar### Bandra Kurla Complex### Bandra East,400051, Mumbai,Maharashtra,19.0634871,72.857455,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268928702%2Fthe%20burrow.png?alt=media&token=f0c04197-3002-47b8-acdd-de014c0a8885
1680268957625,LAZIZ SEEKH KABAB CORNER,Fast food restaurant,2,4,Shop No-6### Patrol Pump### Oshiwara Plaza### ,Swami Vivekananda Rd### Oshiwara### Jogeshwari West,400102, Mumbai,Maharashtra,19.1469459,72.8470345,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268957625%2Flaziz.png?alt=media&token=ad731048-fd59-497e-b686-ecdae3d5f97d
1680268972916,Fire Wings,Chicken wings restaurant,1,4.1,Shop No. 21### Okaz Shopping Centre,Milat Nagar### Andheri West,400053, Mumbai,Maharashtra,19.1508363,72.8223677,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268972916%2Ffire%20wings.png?alt=media&token=a40c7497-79e2-4230-b456-092e1f3011a9
1680268991867,White lama villa,,2,4.2,Paradise Heights### Ground floor, Back road### Lokhandwala Complex,400053, Mumbai,Maharashtra,19.1506134,72.823462,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680268991867%2Fwhite%20lame.jpg?alt=media&token=6d4424a4-28da-4622-8e95-1400cf467e72
1680269012634,1BHK,,2,4.3,Ground Floor### Best Colony Rd,next to Meera Tower### Oshiwara### Andheri West,400047, Mumbai,Maharashtra,19.1511757,72.8282038,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269012634%2F1bhk.png?alt=media&token=319753c1-492c-42d9-a3d6-5feb18b4a6c6
1680269029393,Cafe Safar,North Indian restaurant,2,4.3,GROUND FLOOR-1/2/7 Reliable Business Center,opp. Om Heera Panna Mall### Andheri West,400053, Mumbai,Maharashtra,19.1511757,72.8282038,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269029393%2Fcafe%20safar.jpg?alt=media&token=0173875c-7cbc-45b8-8376-c8082b943d31
1680269048032,High Point,Vegetarian restaurant,0,4,Shop No.1 & 2### Citizen Apartments,3rd Cross Rd### Lokhandwala Complex### Andheri West,400053, Mumbai,Maharashtra,19.1461284,72.8238265,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269048032%2Fhigh%20point.png?alt=media&token=552071b0-4d35-45db-b423-69cbcf001ee0
1680269068085,Yazu - Pan Asian Supper Club,Pan-Asian restaurant,2,4.5,9 Raheja classic,next to OPTIONS - The Fashion Mall,400053, Mumbai,Maharashtra,19.1423377,72.8269808,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269068085%2Fyazu.png?alt=media&token=ab702f49-d388-41f8-9678-d62962baeb2c
1680269081082,Glocal Junction Andheri,,2,4.1,B-57### Morya Bluemoon Building### Ground Floor,New Link Rd,400053, Mumbai,Maharashtra,19.1377158,72.8290193,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269081082%2Fglocal.jpg?alt=media&token=9a7bd3c2-bc9d-48bb-b664-dce004717b39
1680269130969,Pizza By Engineers,Pizza restaurant,0,4.5,Usha Kiran### 001/33### Veera Desai Rd,Azad Nagar### Andheri West,400058, Mumbai,Maharashtra,19.1294853,72.8342978,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269130969%2Fpizza%20by.jpg?alt=media&token=cbd2a7af-129d-4194-9a50-7a6fbcbd5897
1680269207787,Aromas Café & Bistro,Cafe,0,4.1,Gazebo House### 52### Ground Floor,Gulmohar Rd### below Country Club Fitness### Juhu,400049, Mumbai,Maharashtra,19.1186998,72.8302853,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269207787%2Faroma.jpg?alt=media&token=17e8bee8-965d-4787-b89f-0d1a7f61db82
1680269224506,Malhar Tribes Restaurant Bar,Goan restaurant,0,4.4,Gamdevi### Marol### Andheri East,,400059, Mumbai,Maharashtra,19.1084408,72.8747885,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269224506%2Fmalhar.jpg?alt=media&token=93d830de-56c7-4380-a6b8-0289b92549e4
1680269238107,Lucky Hotel,North Indian restaurant,2,4,Gala No.1&2### D.P.K.Compound,Kherani Road### Sakinaka### Andheri,400072, Mumbai,Maharashtra,19.1033719,72.8883497,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269238107%2Flucky%20hotel.png?alt=media&token=e5ce793e-1fbb-4a31-821b-70a2703de439
1680269254349,Opa! Bar & Cafe,Bar,2,4.1,Sakinaka Junction Hotel Peninsula Gran,Lokmanya Tilak Nagar### Andheri East,400072, Mumbai,Maharashtra,19.1025474,72.888324,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Frestaurants%2F1680269254349%2Fopa%20bar.jpg?alt=media&token=0854ea43-422e-49b3-9188-a62c9a5cdd27
